Fecha,NFLX
583,371.83
584,370.54
585,378.81
586,379.06
587,385.03
588,378.67
589,370.46
590,364.37
591,362.75
592,361.04
593,345.26
594,345.61
595,354.99
596,359.31
597,354.45
598,348.11
599,354.27
600,359.73
601,352.21
602,354.39
603,355.06
604,349.19
605,351.85
606,343.28
607,336.63
608,353.40
609,355.73
610,357.13
611,360.87
612,352.01
613,351.27
614,345.56
615,343.43
616,339.73
617,350.62
618,357.12
619,363.52
620,365.21
621,369.21
622,371.04
623,360.30
624,362.20
625,370.02
626,367.32
627,374.60
628,375.43
629,381.72
630,380.55
631,376.16
632,379.93
633,381.00
634,379.50
635,373.25
636,366.60
637,365.99
638,362.44
639,325.21
640,315.10
641,310.62
642,307.30
643,317.94
644,326.46
645,335.78
646,332.70
647,325.93
648,322.99
649,319.50
650,318.83
651,307.63
652,310.10
653,304.29
654,315.90
655,308.93
656,310.83
657,312.28
658,299.11
659,295.76
660,302.80
661,309.38
662,298.99
663,297.81
664,296.93
665,291.44
666,294.98
667,291.03
668,291.77
669,296.78
670,293.75
671,289.29
672,291.52
673,293.25
674,290.17
675,294.34
676,287.99
677,288.27
678,288.86
679,294.15
680,294.29
681,298.60
682,291.56
683,286.60
684,270.75
685,265.92
686,254.59
687,264.75
688,263.31
689,263.08
690,267.62
691,269.58
692,268.03
693,268.15
694,272.79
695,274.46
696,270.72
697,267.53
698,280.48
699,282.93
700,285.53
701,284.25
702,286.28
703,293.35
704,275.30
705,278.05
706,266.69
707,271.27
708,271.50
709,276.82
710,281.86
711,281.21
712,291.45
713,287.41
714,286.81
715,292.86
716,288.03
717,288.59
718,289.57
719,291.57
720,294.18
721,292.01
722,283.11
723,289.62
724,295.03
725,302.57
726,302.60
727,305.16
728,311.69
729,310.48
730,315.55
731,312.49
732,315.93
733,314.66
734,309.99
735,306.16
736,304.32
737,302.86
738,307.35
739,302.50
740,293.12
741,298.93
742,298.44
743,298.50
744,304.21
745,315.48
746,320.80
747,332.22
748,336.90
749,333.10
750,333.20
751,332.63
752,329.09
753,323.31
754,323.57
755,329.81
756,325.90
757,335.83
758,330.75
759,339.26
760,335.66
761,329.05
762,338.92
763,338.69
764,339.07
765,338.62
766,339.67
767,338.11
768,326.00
769,349.60
770,353.16
771,342.88
772,348.52
773,343.16
774,347.74
775,345.09
776,358.00
777,369.01
778,369.67
779,366.95
780,366.77
781,371.07
782,373.69
783,380.01
784,381.40
785,380.40
786,387.78
787,386.19
788,386.00
789,380.07
790,368.70
791,360.09
792,379.24
793,371.71
794,369.03
795,381.05
796,368.77
797,383.79
798,372.78
799,368.97
800,346.49
801,364.13
802,349.92
803,315.25
804,336.30
805,298.84
806,319.75
807,315.47
808,332.03
809,332.83
810,360.27
811,357.32
812,342.39
813,362.99
814,357.12
815,370.96
816,375.50
817,364.08
818,370.08
819,361.76
820,379.96
821,372.28
822,371.12
823,370.72
824,396.72
825,413.55
826,426.75
827,439.17
828,422.96
829,437.49
830,433.83
831,421.42
832,426.70
833,424.99
834,421.38
835,403.83
836,411.89
837,419.85
838,415.27
839,428.15
840,424.68
841,434.26
842,436.53
843,435.55
844,440.52
845,431.82
846,438.27
847,441.95
848,454.19
849,452.58
850,451.04
851,447.67
852,436.25
853,429.32
854,414.77
855,419.89
856,413.44
857,419.73
858,425.92
859,427.31
860,421.97
861,414.33
862,419.60
863,419.49
864,434.05
865,434.48
866,425.56
867,418.07
868,425.50
869,436.13
870,447.77
871,449.87
872,453.72
873,468.04
874,466.26
875,457.85
876,465.91
877,443.40
878,447.24
879,455.04
880,485.64
881,476.89
882,493.81
883,493.16
884,502.78
885,507.76
886,548.73
887,525.50
888,524.88
889,523.26
890,527.39
891,492.99
892,502.41
893,490.10
894,489.82
895,477.58
896,480.45
897,495.65
898,488.51
899,484.48
900,485.80
901,488.88
902,498.62
903,509.64
904,502.11
905,509.08
906,494.73
907,483.38
908,466.93
909,475.47
910,481.33
911,482.68
912,482.35
913,491.87
914,484.53
915,497.90
916,492.31
917,488.81
918,490.58
919,547.53
920,526.27
921,523.89
922,529.56
923,556.55
924,552.84
925,525.75
926,516.05
927,507.02
928,500.19
929,480.67
930,482.03
931,476.26
932,495.99
933,483.86
934,470.20
935,469.96
936,487.35
937,491.17
938,470.61
939,473.08
940,482.88
941,490.65
942,493.48
943,500.03
944,527.51
945,503.06
946,520.65
947,505.87
948,534.66
949,531.79
950,539.44
951,539.81
952,554.09
953,541.45
954,541.94
955,530.79
956,530.72
957,525.42
958,489.05
959,485.23
960,488.28
961,488.24
962,488.93
963,486.24
964,504.21
965,475.74
966,484.12
967,487.22
968,496.95
969,513.76
970,514.73
971,470.50
972,480.24
973,490.76
974,486.77
975,482.84
976,479.10
977,480.63
978,481.79
979,484.67
980,488.24
981,476.62
982,482.88
983,485.00
984,491.36
985,490.70
986,504.58
987,503.38
988,497.52
989,498.31
990,515.78
991,512.66
992,493.60
993,501.09
994,503.22
995,522.42
996,519.78
997,524.83
998,532.90
999,534.45
1000,528.91
1001,527.33
1002,514.48
1003,513.97
1004,519.12
1005,530.87
1006,524.59
1007,540.73
